tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
906,33:48.9,48:55.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,519,Pershing Square North,40.751873,-73.977706,32650,Subscriber,1972,2
334,50:08.7,55:43.7,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3236,W 42 St & Dyer Ave,40.75898481,-73.99379969,14716,Subscriber,1967,1
371,55:51.0,02:02.2,72,W 52 St & 11 Ave,40.76727216,-73.99392888,479,9 Ave & W 45 St,40.76019252,-73.9912551,32662,Subscriber,1991,1
288,00:07.2,04:55.5,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3176,W 64 St & West End Ave,40.77452835,-73.98753759,32289,Subscriber,1984,1
595,07:39.9,17:35.8,72,W 52 St & 11 Ave,40.76727216,-73.99392888,484,W 44 St & 5 Ave,40.75500254,-73.98014437,31364,Subscriber,1977,1
505,17:17.8,25:43.1,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3635,W 36 St & 9 Ave,40.75462324,-73.99516761,28739,Subscriber,1969,1
727,17:35.2,29:43.1,72,W 52 St & 11 Ave,40.76727216,-73.99392888,490,8 Ave & W 33 St,40.751551,-73.993934,33283,Subscriber,1964,1
336,00:14.1,05:51.0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,479,9 Ave & W 45 St,40.76019252,-73.9912551,31652,Subscriber,1969,1
801,28:35.7,41:56.8,72,W 52 St & 11 Ave,40.76727216,-73.99392888,212,W 16 St & The High Line,40.74334935,-74.00681753,31654,Subscriber,1982,2
615,49:48.2,00:03.8,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3233,E 48 St & 5 Ave,40.75724568,-73.97805914,30531,Subscriber,1957,1
343,15:32.8,21:16.1,72,W 52 St & 11 Ave,40.76727216,-73.99392888,479,9 Ave & W 45 St,40.76019252,-73.9912551,18765,Subscriber,1989,1
1222,41:23.2,01:45.9,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3323,W 106 St & Central Park West,40.7981856,-73.9605909,31621,Subscriber,1989,1
437,42:40.6,49:57.9,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3236,W 42 St & Dyer Ave,40.75898481,-73.99379969,16587,Subscriber,1987,1
582,45:32.4,55:14.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,359,E 47 St & Park Ave,40.75510267,-73.97498696,26882,Subscriber,1989,1
